Month,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
,301.971,584.632,93.4619,1649.38,832.04,338.63,277.464,254.779,352.653,254.432,434.311,86.9304
,317.03,907.937,310.004,1667.11,903.503,854.449,313.396,270.841,400.501,629.255,551.7,240.885
,402.755,1032.57,517.459,2073.33,1105.97,999.596,351.051,276.939,453.007,727.711,966.316,424.012
,526.28,1244.99,920.598,2162.48,2523.9,1088.97,531.31,295.668,612.514,1046.59,1055.18,767.602
,714.847,1689.06,1307,2367.94,2722.8,1334.4,562.759,372.601,735.346,1342.22,1088.85,809.612
,999.992,1702.84,2319.69,2825.31,2966.87,1526.95,610.181,414.868,759.546,1386.5,1107.34,992.78
,1013.62,1748.65,2452.04,2881.41,3332.32,1977.46,663.86,534.623,841.483,1400.76,1218.92,1050.42
,1029.17,1790.34,2544.79,2972.26,3518.37,2164.78,676.938,552.689,893.019,1540.55,1380.21,1070.38
,1100.03,1813.64,2594.83,3110.35,3629.44,2176.62,771.999,603.513,908.209,1659.82,1446.09,1165.57
,1137.77,1918.27,2616.83,3153.1,3715.77,2463.64,808.045,691.131,976.375,1736.54,1760.16,1294.29
,1159.46,2070.06,2684.21,3297.34,3862.14,2610.83,825.398,731.17,1011.61,1767.37,1783.31,1307.58
,1178.42,2175.07,2803.97,3324.49,3984.33,2674.8,863.68,756.792,1022.3,2140.95,1852.42,1348.37
,1415.39,2237.08,2930.77,3360.76,4112.5,2721.9,874.852,777.752,1248.59,2214.83,2003.63,1352.18
,1480.12,2245.33,2944.43,3582.96,4115.76,2845,897.194,780.604,1256.9,2253.92,2076.19,1417.47
,1490.72,2321.52,3052.72,3583.26,4271.91,2999.41,915.199,788.733,1341.41,2293.63,2135.28,1440.91
,1512.99,2324.49,3225,3586.47,4690.32,3048.15,917.65,806.857,1387.91,2344.23,2193.06,1448.55
,1523.25,2350.34,3286.98,3612.78,4909.84,3142.58,922.26,961.229,1415.96,2402.09,2273.59,1473.09
,1623.34,2481.41,3292.67,3628.84,4939.38,3167.38,940.152,1007.39,1425.25,2431.87,2392.87,1540.12
,1697.92,2511.27,3324.31,3719.89,5008.06,3382.26,995.186,1015.5,1456.78,2517.83,2568.44,1580.07
,1704.59,2541.9,3471.52,3760.99,5012.75,3743.25,997.259,1098.68,1501.92,2688.68,2589.72,1608.61
,1741.43,2552.5,3529.57,3776.97,5050.09,4004.77,1036.2,1104.58,1549.17,2734.83,2601.58,1608.84
,1756.95,2560.36,3580.75,3989.64,5146.24,4017.97,1061.15,1116.55,1582.25,2771.39,2627.99,1851.57
,1770.36,2744.96,3667.88,4038.43,5246.98,4026.1,1172.53,1118.94,1652.36,2892.04,2686.51,1895.32
,1777.85,2785.82,3673.73,4098.4,5265.62,4059.7,1179.29,1137.31,1655.16,2930.35,2691.17,1900.87
,1804.39,2937.27,3693.46,4121.04,5367.45,4123.64,1205.2,1160.85,1659.82,2939.56,2709.84,1911.09
,1836.78,2986.5,3709.26,4121.28,5392.07,4142.17,1228.23,1175.4,1699.56,2948.45,2733.23,1965.43
,1841.01,3010.92,3730.76,4146.86,5669.02,4371.17,1302.32,1188.05,1764.67,2964.48,2882,1969.39
,1860.51,3011.44,3735.51,4147.11,5686.93,4555.16,1346.3,1209.65,1890,2976.13,2943.97,1980.68
,1943.67,3023.81,3790.82,4280.41,5693.5,4612.13,1379.51,1214.26,1931.51,2996.66,2947.06,1986.72
,1964.02,3037.37,4017.28,4353.99,5933.2,4628.59,1386.78,1237.52,1972.69,3004.44,2989.84,2050.16
,1969.62,3046.39,4049.75,4375.48,5983.35,4646.75,1487.31,1284.14,1982.18,3054.79,3008.4,2135.26
,2046.07,3056.28,4059.17,4383.06,5998.1,4717.72,1578.12,1325.84,1986.69,3057.41,3018.22,2138.62
,2055.92,3059.89,4096.95,4391.58,6009.04,4797.21,1617.94,1326.97,2098.85,3138.59,3036.97,2139.65
,2058.31,3063.94,4136.43,4413.03,6016.64,4801.48,1627.61,1334.29,2168.24,3198.39,3072.72,2196.11
,2070.56,3071.36,4136.81,4425.79,6072.18,4870.16,1654.22,1386.96,2172.68,3246.17,3081.65,2198.75
,2115.01,3117.31,4153.59,4436.34,6074.22,5054.81,1703.68,1404.36,2194.24,3295.23,3092.26,2223.91
,2138.32,3132.67,4166.95,4445.28,6110.78,5192.92,1714.71,1415.28,2232.56,3296.46,3102.82,2227.78
,2148.17,3160.32,4207.95,4486.94,6119.52,5262.58,1730.83,1446.82,2275.16,3312.25,3112.89,2265.2
,2228.57,3190.54,4233.85,4515.07,6151.95,5277.09,1788.24,1452.42,2275.62,3375.49,3113.35,2277.46
,2291.47,3229.15,4265.54,4526.47,6226.35,5336.9,1823.49,1553.98,2357.72,3453.18,3134.95,2282.39
,2296.61,3266.14,4277.86,4536.72,6357.77,5462.27,1847.11,1563.08,2395.25,3453.31,3185.28,2310.39
,2297.97,3301.35,4330.41,4566.6,6358.65,5469.69,1874.89,1565.59,2397.11,3462.1,3185.79,2348.96
,2329.01,3321.99,4334.36,4621.37,6376.53,5568.25,1882.14,1600.69,2420.71,3510.25,3240.19,2403.15
,2332.82,3355.43,4464.49,4637.83,6452.61,5631.43,1903.05,1623.7,2520.59,3553.24,3243.26,2419.33
,2344.83,3375.5,4502.45,4656.01,6546.51,5652.6,2093.55,1637.87,2522.58,3581.64,3247.73,2419.61
,2345.85,3383.3,4556.03,4670.87,6546.58,5725.75,2104.67,1644.6,2587.97,3599.09,3250.19,2482.97
,2374.55,3385.08,4574.53,4799.02,6580.12,5854.57,2139.49,1672.68,2592.91,3621.76,3253.7,2483.26
,2405.68,3391.3,4585.17,4800.25,6597.64,5879.86,2173.58,1743.76,2638.3,3622.9,3262.79,2563.24
,2418.07,3435.18,4586.82,4832.26,6627.7,5882.64,2175.73,1754.34,2831.05,3644.38,3307.13,2589.52
,2435.13,3472.72,4645.63,4896.83,6707.62,5998.12,2191,1772.96,2848.11,3655.51,3308.71,2598.3
,2437.37,3507.46,4652.84,4936.34,6722.38,6021.87,2195.16,1781.55,2853.64,3664.38,3319.58,2600.22
,2456.04,3509.04,4653.03,4951.24,6791.35,6175.3,2197.46,1795.66,2870.8,3666.72,3401.75,2618.05
,2457.44,3520.11,4668.02,4952.24,6935.76,6226.46,2215.12,1821.01,2891.41,3714.9,3408.14,2628.51
,2486.2,3528.45,4668.2,4966.32,6987.88,6438.98,2232.75,1824.32,2904.79,3724.08,3468.22,2668.22
,2522.32,3563.87,4681.58,4988.95,6989.53,6456.75,2232.76,1834.82,2940.75,3735.32,3524.82,2668.8
,2600.79,3582.92,4695.6,4989.91,7001.15,6546.52,2236.02,1849.79,2975.25,3741.13,3587.04,2679.25
,2622.12,3601.88,4706.54,5006.6,7059.49,6596.45,2294.99,1851.7,2984.86,3742.05,3614.08,2688.86
