Month,Distributions,P value,40%,50%,60%,m1,m2,m3
Jan,Normal,0.52547,7254.2671,8077.1579,8900.0487,8077.1579,10550001.64,0
Feb,gev,0.11052,7808.4385,8634.5406,9518.0475,9071.7596,12468175.58,0.89574
Mar,gev,0.065012,9115.0372,10106.5124,11194.297,10889.6736,21271553.93,1.4264
Apr,gev,0.40539,11584.2657,13233.9258,15133.68,15552.8857,96967168.42,1.556
May,Gamma,0.27907,23855.8594,28098.4704,32822.8853,31804.4842,362308557.7,1.4449
Jun,gev,0.029262,29302.6629,34290.2793,39703.3393,37656.6028,497763393.8,0.82648
Jul,LogNormal,0.34469,9642.9782,12070.1848,15108.3366,17874.6958,381186675.7,0
Aug,gev,0.32389,6769.7858,7872.5917,9113.9987,9077.1604,33109371.54,1.3244
Sep,gev,0.021889,7076.4446,7984.4261,8987.9638,8776.0656,18924327.81,1.7085
Oct,gev,0.060769,7619.4505,8547.5818,9588.7604,9521.0198,22646466.06,3.9099
Nov,gev,0.075845,7884.8601,8718.9358,9608.3156,9136.7289,12501544.83,0.87613
Dec,gev,0.35232,6975.7513,7810.7411,8694.6447,8172.569,12064330.19,0.56641
